epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.8101,0.81245,3.36791,1.07517,0.00208,0.71429,0.28887,0.22275,1.38913,3.9148,1.21452,0.00024,0.00024,0.00024
2,141.161,0.836,2.06986,0.98907,0.0025,0.85714,0.29249,0.24536,1.07117,3.70144,1.1308,0.000467,0.000467,0.000467
3,234.002,0.88365,1.92922,0.9536,0.00817,0.82003,0.29034,0.23062,1.57385,4.04146,1.29253,0.00065968,0.00065968,0.00065968
4,311.769,0.93902,2.14553,0.999,1,0.27407,0.29004,0.2165,1.62187,3.56117,1.27043,0.00081804,0.00081804,0.00081804
5,369.238,0.93674,2.19653,1.02316,1,0.36619,0.56599,0.34746,1.44558,3.14757,1.23567,0.00094208,0.00094208,0.00094208
6,434.502,0.87021,2.50127,1.00358,1,0.39909,0.51667,0.31865,1.63096,3.21415,1.54245,0.0010318,0.0010318,0.0010318
7,496.607,0.91188,2.45556,1.05562,0.18382,0.57143,0.16877,0.1082,1.71134,3.29403,1.64115,0.0010872,0.0010872,0.0010872
8,564.447,0.861,2.24226,0.99749,0.7883,0.57143,0.66297,0.36251,1.65205,2.66584,1.7333,0.001076,0.001076,0.001076
9,692.76,0.91761,2.13091,1.02152,0.71654,0.57143,0.64666,0.34306,1.55294,2.41642,1.38141,0.000944,0.000944,0.000944
10,779.284,0.89789,1.99294,1.02807,0.82194,0.85714,0.83845,0.4987,1.6205,1.91305,1.45275,0.000812,0.000812,0.000812
11,870.15,0.82109,1.74362,0.98508,0.97988,0.71429,0.79489,0.59186,1.36899,1.93696,1.32668,0.00068,0.00068,0.00068
12,960.006,0.79342,1.7184,0.98062,0.98161,0.71429,0.74984,0.48937,1.48068,1.94796,1.48367,0.000548,0.000548,0.000548
13,1087.15,0.69876,1.57946,0.95457,0.98599,0.71429,0.83636,0.57649,1.50433,1.59508,1.49485,0.000416,0.000416,0.000416
14,1222.16,0.6902,1.40973,0.94223,0.85687,0.8555,0.83632,0.52422,1.39938,1.53,1.37699,0.000284,0.000284,0.000284
15,1311.56,0.67379,1.3851,0.93645,0.85653,0.85714,0.83623,0.5464,1.4833,1.60386,1.3993,0.000152,0.000152,0.000152
